[0906/115214.892:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0906/115220.093:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/130830.750:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/130835.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/130840.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133813.222:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133818.245:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133823.277:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133828.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133833.347:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133838.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/133843.396:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
